"","Year","freqneg","MZNEG","freqpos","MZPOS","sent","MZ","Cluster"
"18",1917,0.000199688179227821,-1.33086209939144,0.000852514919011083,-1.94582171728156,0.000652826739783262,-0.614959617890126,2
"19",1918,0.000163207572831379,-1.36011825307542,0.00221236932060314,-1.40070291461536,0.00204916174777176,-0.0405846615399428,2
"20",1919,0.000182720711392636,-1.34446940737365,0.000852696653165636,-1.94574886631707,0.000669975941773,-0.601279458943418,2
"21",1920,0.000417269389117614,-1.15636967878565,0.00151144245391491,-1.68168035887581,0.0010941730647973,-0.52531068009016,2
"22",1921,0.000834552483799124,-0.821723422770571,0.00567344866245368,-0.0132753896145713,0.00483889617865456,0.808448033155999,3
"23",1922,0.000989074629585044,-0.697802137154765,0.00466231560590582,-0.418603813360735,0.00367324097632077,0.27919832379403,3
"24",1923,0.00154583304399284,-0.251301616857708,0.00591965492497778,0.0854202228560934,0.00437382188098494,0.336721839713801,3
"25",1924,0.00119795703366114,-0.530285850579946,0.0041357073573706,-0.62970292630958,0.00293775032370945,-0.0994170757296337,3
"26",1925,0.000473288435893081,-1.11144438823859,0.00295294863335644,-1.10383017016948,0.00247966019746336,0.00761421806910412,3
"27",1926,0.00217377299625434,0.252283974566707,0.00587157989674118,0.0661485995118599,0.00369780690048684,-0.186135375054847,1
"28",1927,0.00141857789088518,-0.353355740518305,0.00702417844683551,0.528185668220563,0.00560560055595033,0.881541408738868,1
"29",1928,0.000646882903746784,-0.972227776128983,0.00366015575686606,-0.820335187211581,0.00301327285311927,0.151892588917402,3
"30",1929,0.000636500849788682,-0.980553815527913,0.00336600864488249,-0.938248635375208,0.0027295077950938,0.0423051801527042,3
"31",1930,0.00116629149201738,-0.555680492948251,0.00434378182841077,-0.546293035966888,0.00317749033639339,0.00938745698136267,3
"32",1931,0.000756669630236083,-0.884182711643835,0.00451571224806995,-0.477372051193235,0.00375904261783387,0.4068106604506,3
"33",1932,0.00150103265963865,-0.287229937662576,0.00404531478721402,-0.665938194994216,0.00254428212757537,-0.37870825733164,3
"34",1933,0.00146848976952127,-0.313328182418939,0.00551833238895102,-0.0754561621934731,0.00404984261942975,0.237872020225466,3
"35",1934,0.00138313323447648,-0.381781099019746,0.00418289329854059,-0.61078770735441,0.00279976006406411,-0.229006608334664,3
"36",1935,0.000638451038035396,-0.978989833656599,0.00326239352844122,-0.979784367543635,0.00262394249040582,-0.000794533887036319,3
"37",1936,0.00126462011304171,-0.476824423041955,0.00548818272667947,-0.0875421235868533,0.00422356261363776,0.389282299455101,1
"38",1937,0.00130382269304529,-0.445385342974883,0.00533587739863934,-0.148596084925446,0.00403205470559406,0.296789258049437,3
"39",1938,0.00270586147759424,0.679000082692426,0.0064030292161389,0.279188331065976,0.00369716773854466,-0.39981175162645,1
"40",1939,0.00119686520403423,-0.531161459253076,0.00528897949640397,-0.16739583899042,0.00409211429236975,0.363765620262657,3
"41",1940,0.000666606634549484,-0.956410042911656,0.00381454077931693,-0.758447547998523,0.00314793414476745,0.197962494913133,3
"42",1941,0.000774296733356322,-0.870046399536387,0.00460346910323322,-0.442193349887899,0.0038291723698769,0.427853049648488,3
"43",1942,0.000290966897192879,-1.25765980193393,0.0012939747379228,-1.76885567766096,0.00100300784072992,-0.511195875727022,2
"44",1943,0.000563264184640747,-1.0392870259243,0.00436873196867702,-0.536291383898572,0.00380546778403627,0.502995642025732,3
"45",1944,0.000948294415151189,-0.730506424133364,0.00552028408479501,-0.0746737945367624,0.00457198966964382,0.655832629596601,1
"46",1945,0.00358479453770709,1.38387325297779,0.00918916068010557,1.3960524938249,0.00560436614239848,0.0121792408471091,4
"47",1946,0.0012913596989113,-0.455380222659288,0.00536733278987025,-0.135986701755368,0.00407597309095896,0.319393520903921,3
"48",1947,0.00129846716977515,-0.44968028287107,0.00513910029232626,-0.227477250776674,0.00384063312255111,0.222203032094396,3
"49",1948,0.00119733825657215,-0.530782087879705,0.00701696591314805,0.525294411830693,0.00581962765657591,1.0560764997104,1
"50",1949,0.00137928030633436,-0.384871010865899,0.00792000166527887,0.887290348594221,0.00654072135894451,1.27216135946012,1
"51",1950,0.000906343324093853,-0.764149712675403,0.00581380898998395,0.0429902323487477,0.0049074656658901,0.807139945024151,1
"52",1951,0.00255309263028901,0.556484880332128,0.00773613625364708,0.813585036523234,0.00518304362335808,0.257100156191106,1
"53",1952,0.0013538756601284,-0.405244636940305,0.00590040311820343,0.077702836461115,0.00454652745807503,0.48294747340142,3
"54",1953,0.00197909974827454,0.0961629276969343,0.00696887199737642,0.506015217124064,0.00498977224910189,0.40985228942713,1
"55",1954,0.00148853287383783,-0.297254322960113,0.00670024789500669,0.398333064623297,0.00521171502116886,0.69558738758341,3
"56",1955,0.00169703661666009,-0.130041709293471,0.00790729865771812,0.882198150294413,0.00621026204105803,1.01223985958788,1
"57",1956,0.00235207372954353,0.395274844794779,0.00747065596414616,0.70716313034358,0.00511858223460263,0.311888285548801,1
"58",1957,0.00202207505119881,0.130627597864554,0.00727379829525212,0.628249669727836,0.00525172324405331,0.497622071863281,1
"59",1958,0.00201642117763891,0.126093391607659,0.0073078273467365,0.641890744668884,0.00529140616909758,0.515797353061225,1
"60",1959,0.00203166796657804,0.138320776085395,0.00719802957218045,0.597876597763649,0.00516636160560241,0.459555821678253,1
"61",1960,0.00197008199493911,0.0889310090550584,0.0072284087706641,0.610054572320321,0.00525832677572499,0.521123563265262,1
"62",1961,0.00210904594535237,0.200375173267742,0.00716117360362592,0.583102309114782,0.00505212765827354,0.382727135847041,1
"63",1962,0.00235558411223164,0.398090047324499,0.00735486901207449,0.66074812841118,0.00499928489984285,0.262658081086681,1
"64",1963,0.00243676179748878,0.46319167446807,0.00715916827097294,0.582298440308343,0.00472240647348416,0.119106765840273,1
"65",1964,0.00241904611974289,0.448984328649384,0.00759856722529511,0.758438350281396,0.00517952110555222,0.309454021632012,1
"66",1965,0.0025679929207591,0.568434385315448,0.00776603111936113,0.825568858750696,0.00519803819860204,0.257134473435248,1
"67",1966,0.00272729161109656,0.696186290410538,0.00806747831533413,0.946408659205438,0.00534018670423757,0.2502223687949,1
"68",1967,0.00255255841299033,0.556056456987925,0.00710168857574944,0.559256809821162,0.00454913016275912,0.00320035283323739,1
"69",1968,0.00164513505587924,-0.17166492197096,0.00593422118683912,0.0912593356433744,0.00428908613095988,0.262924257614334,1
"70",1969,0.00248652730606701,0.503101848967474,0.00645430864428392,0.299744487989167,0.00396778133821691,-0.203357360978307,1
"71",1970,0.00286485895637394,0.80651042679125,0.00668143932941452,0.390793358355137,0.00381658037304059,-0.415717068436113,1
"72",1971,0.00354473279550255,1.35174515526891,0.00804627684772734,0.9379097209198,0.00450154405222478,-0.413835434349108,1
"73",1972,0.00430854396055206,1.96429464491796,0.00791608685505999,0.885721035984957,0.00360754289450792,-1.078573608933,4
"74",1973,0.0041540457756489,1.8403925750811,0.00803562558115077,0.933639994928328,0.00388157980550188,-0.906752580152767,4
"75",1974,0.00462613175422972,2.21898880210981,0.00750822555264512,0.72222348465448,0.0028820937984154,-1.49676531745533,4
"76",1975,0.00438465953564523,2.02533663907974,0.007489016833207,0.714523370488875,0.00310435729756177,-1.31081326859087,4
"77",1976,0.00463260299659176,2.22417850918356,0.00755493867959579,0.7409491686706,0.00292233568300402,-1.48322934051296,4
"78",1977,0.00432534806931587,1.97777094471335,0.00822005078181989,1.0075697071479,0.00389470271250402,-0.970201237565449,4
"79",1978,0.00435279679621798,1.99978385107656,0.00807267525893618,0.948491934937422,0.0037198784627182,-1.05129191613913,4
"80",1979,0.00421740191568682,1.89120195444366,0.00830259563815485,1.04065909759947,0.00408519372246803,-0.850542856844188,4
"81",1980,0.00393495829084107,1.66469217536407,0.00815156908478346,0.980117752990646,0.00421661079394238,-0.684574422373424,4
"82",1981,0.00361436769450392,1.40758987683996,0.00817001112260685,0.987510530897782,0.00455564342810292,-0.42007934594218,4
"83",1982,0.00354894145439047,1.3551203505683,0.0082950308060303,1.03762661689766,0.00474608935163983,-0.317493733670641,4
"84",1983,0.00337014456992659,1.21173158467865,0.00820853823856939,1.00295472499613,0.0048383936686428,-0.208776859682518,4
"85",1984,0.00334411932354742,1.19086025925554,0.00825248242141943,1.0205704346716,0.00490836309787201,-0.170289824583936,4
"86",1985,0.00317493233588658,1.0551782900869,0.00813059160368046,0.971708603181351,0.00495565926779389,-0.0834696869055492,4
"87",1986,0.00297813868930028,0.897356758668468,0.00796404533168284,0.904945937800722,0.00498590664238256,0.00758917913225376,4
"88",1987,0.00277352035081132,0.733260101602545,0.00784793297673521,0.858400493060681,0.00507441262592389,0.125140391458136,5
"89",1988,0.00267208787376247,0.651914849145966,0.00776953211198676,0.82697228613674,0.00509744423822429,0.175057436990774,5
"90",1989,0.00267773094314567,0.656440390835981,0.00766814285210509,0.786328823215118,0.00499041190895942,0.129888432379137,5
"91",1990,0.00251961336029651,0.5296356920954,0.00764963714571266,0.778910522771096,0.00513002378541615,0.249274830675696,5
"92",1991,0.00242444821938949,0.453316621149117,0.00772560136948918,0.809361964235744,0.00530115315009969,0.356045343086627,5
"93",1992,0.00240215242065995,0.435436180592571,0.00777633328799959,0.829698643400057,0.00537418086733964,0.394262462807485,5
"94",1993,0.00251456919020845,0.525590446418812,0.00788919383251172,0.874940549313426,0.00537462464230328,0.349350102894614,5
"95",1994,0.00236918009349111,0.408993542537513,0.00770087827209629,0.799451325837082,0.00533169817860518,0.390457783299569,5
"96",1995,0.00250063789983254,0.514418045175681,0.00779532554874777,0.837311986730674,0.00529468764891523,0.322893941554992,5
"97",1996,0.00256556594274645,0.566488034946324,0.0078867547864286,0.873962819727874,0.00532118884368215,0.30747478478155,5
"98",1997,0.00254001900769865,0.546000298262596,0.00787898881803019,0.870849710420049,0.00533896981033154,0.324849412157453,5
"99",1998,0.00260755022248433,0.600157939634155,0.00806212800219465,0.944263902907211,0.00545457777971032,0.344105963273056,5
"100",1999,0.00252828372587899,0.53658901806868,0.00788147551375553,0.871846541106337,0.00535319178787654,0.335257523037656,5
"101",2000,0.00243534066912348,0.462051979875059,0.00793415409389672,0.892963569884638,0.00549881342477323,0.430911590009579,5
